song_id,artist,title,lyrics,emotion
293,Brett Young,Mercy,"
So if you're gonna break my heart, just break it

And if you're gonna take your shot, then take it

Take it

If you made up your mind, then make it

Make this fast

If you ever loved me

Have mercy


If you go out tonight and get drunk and lonely

Wind up home alone

Please don't call me

And say you miss me

No",Sadness
864,Hardy,Truck Bed,"
She said don't come home if you go to the bar

I said okay baby then got drunk out in the yard

2am I knock knock knocked up on the door

But she never unlock locked it guess I don't live there no more


Yeah she meant business this time

I can't believe my bloodshot eyes",Sadness
456,Justin Bieber,Yummy,"
Bonafide stallion

It ain't no stable, no, you stay on the run

Ain't on the side, you're number one

Yeah, every time I come around, you get it done (You get it done)


Fifty-fifty, love the way you split it

Hundred racks, help me spend it, babe

Light a match, get litty, babe

That jet set, watch the sunset kinda, yeah, yeah

Rollin' eyes back in my head, make my toes curl, yeah, yeah",Happiness
569,Megan Thee Stallion,Thot Shit,"
Hands on my knees, shakin' ass, on my thot shit

Hands on my knees, shakin' ass, on my thot shit (Thot shit)

Hands on my knees, shakin’ ass, on my thot shit

Hands on my knees, ha-hands on my knees

Hands on my knees, shakin’ ass, on my thot shit

Hands on my knees, shakin' ass, on my thot shit (Thot shit)

Hands on my knees, shakin’ ass, on my thot shit

Hands on my knees, hands on my knees


Hoes said they wish a bitch would, and I'm a genie

Bitch so hot, gotta stay in bikinis

He got a girl, but he keep beggin' to see me

I love it when a nigga got a mouth full of VVs

No, I'm not a patient, but I let him treat me

I gotta be a doctor how I’m orderin' CCs

Go to your place, no face, no case

Ninety-nine percent tint in a blacked-out Wraith

I remember hoes used to clap for me happily

Now I'm bossed up and them same hoes mad at me

Acting like they ridin', whole time tryna pass me

Watchin' me go through it and still tryna drag me

Actin' like you winnin', if you think about it, actually

Are they supportin' you or really just attackin' me?

I don't give a fuck 'bout a blog tryna bash me

I'm the shit per the Recording Academy (Ah)",Happiness
451,Shaed,Trampoline,"
Wait if I'm on fire

How am I so deep in love?

When I dream of dying

I never feel so loved


I've been having dreams

Splashin in a summer stream

Trip and I fall in

I wanted it to happen

My body turns to ice

Crushin weight of paradise

Solid block of gold

Lying in the cold

I feel right at home",Surprise
540,Moneybagg Yo,Wockesha,"
I'm sitting here lookin' at Kesha like do you love me? Do you love me not?

Damn you hit the spot

Taste like candy (Candy), sweet like fruit (Ooh)

Wet like water, can I love on you?

Withdrawls I'm feelin' different every day I need a dose

Every now and then I'm missin', I got my times when I go ghost

But she mine

I'm stampin' her

Priority status so them other bitches mad at her (Too mad, ha)

Comin' through a hunnid thou

I spent that on times 2 on you

Called myself, couldn't get loose

Then I pop back up like peek-a-boo

Here I go, flyer than most Louis V coat

Gas station coffee cup full I don't drive boats (Nope)

Money can't buy happiness, but she found love inside a G

Head and somethin' to eat, that's all a thug nigga need

No lie you get me higher than the prices of me weed

I'm displayin' my feelings like I'm wearing them on my sleeves


One minute I'm done with you, the next one I be runnin' back

Go your way, I go my way, but some how we be still attached

Tryna found my answers with this cup, but ain't no truth in that

They be like I'm dumb for fuckin' with you, I spent stupid racks

I'm sittin' here knowin' I don't need you pourin' O's in the lid

Sippin' chasers with my reefa, can't get my mind off Wockesha

Watch me put my heart in this cup

In my feelings, she my therapist, I'ma talk to this cup

I swear",Happiness
866,Miley Cyrus,Flowers,"
I can buy myself flowers

Write my name in the sand

Talk to myself for hours

Say things you don't understand

I can take myself dancing

And I can hold my own hand

Yeah, I can love me better than you can


Can love me better, I can love me better, baby

Can love me better, I can love me better, baby",
211,Post Malone,Better Now,"
I did not believe that it would end, no

Everything came second to the Benz oh

You're not even speaking to my friends, no

You knew all my uncles and my aunts though

Twenty candles, blow 'em out and open your eyes

We were looking forward to the rest of our lives

Used to keep my picture posted by your bedside

Now it's in your dresser with the socks you don't like

And I'm rollin', rollin', rollin', rollin'

With my brothers like it's Jonas, Jonas

Drinkin' Henny and I'm tryna forget

But I can't get this shit outta my head


You probably think that you are better now, better now

You only say that 'cause I'm not around, not around

You know I never meant to let you down, let you down

Woulda gave you anything, woulda gave you everything

You know I say that I am better now, better now

I only say that 'cause you're not around, not around

You know I never meant to let you down, let you down

Woulda gave you anything, woulda gave you everything",
879,Bad Bunny,Monaco,"
Dime (Ey; dime), dime

¿Esto es lo que tú quería'?

Yo soy fino (Uh), esto es trap de galería

Tú eres un charro, Rocky ""The Kid"", una porquería

Y yo un campeón, Rocky Marciano, Rocky Balboa, Rocky Maivia

Tengo la ruta, tengo la vía, sí, tengo la vía

Los gasto de noche, facturo to' el día

Tanta plata que, que me gusta que

Me chapeen, por eso le meto a toa' estas arpía'

Ustedes no saben lo que es estar en altamar con doscientos cuero'

Que la azafata te mame el bicho en el cielo (Ey, ey)

Lo que es tirar quinientos mil en el putero (Ey, ey, ey)

Por eso tu opinión me importa cero (Duh)

Por eso tú estás 101 en el top 100 y yo estoy primero

Ya no son rapero', ahora son podcastero'

Má' que tú está cobrando mi barbero (Ey)

Chingando y viajando en el mundo entero (Ey, ey, ey), ey


Bebiendo mucha champaña, nunca estamos seco'

Primero llegó Verstappen, después llegó Checo

Si Pablo me viera, dirá que soy un berraco

Ustede' hablando mierda y yo y los mío' por Mónaco

Bebiendo mucha champaña, nunca estamos seco'

Están hablando solo', están hablando con el eco

El signo del dinero, ese e' mi nuevo zodiaco

Prende un puro, la familia está en Mónaco",
155,Brett Young,In Case You Didn't Know,"
Baby I know that you've been wondering

Mmm, so here goes nothing


In case you didn't know

Baby I'm crazy bout you

And I would be lying if I said

That I could live this life without you

Even though I don't tell you all the time

You had my heart a long long time ago

In case you didn't know",
836,Eminem,Houdini,"
Well, look what the stork brung (What?)

Little baby devil with the forked tongue

And it's stickin' out, yeah, like a sore thumb (Bleh)

With a forehead that it grew horns from (Look)

Still a white jerk (It's him), pullin' up in a Chrysler to the cypher

With the Vics, Percs and a Bud Light shirt

Lyrical technician (Yeah), an electrician (Yeah)

Y'all light work (Haha)

And I don't gotta play pretend, it's you I make believe (What?)

And you know I'm here to stay 'cause me (Why?)

If I was to ever take a leave (What?)

It would be aspirin' to break a feve' (Yeah)

If I was to ask for Megan Thee (What?)

Stallion if she would collab with me

Would I really have a shot at a feat? (Haha)

I don't know, but I'm glad to be back like


Abra-abracadabra (And for my last trick)

I'm 'bout to reach in my bag, bruh (Like)

Abra-abracadabra (And for my last trick, poof)

Just like that and I'm back, bro",
233,Lauv,I Like Me Better,"
I like me better when I'm with you

I like me better when I'm with you

I knew from the first time, I'd stay for a long time cause

I like me better when

I like me better when I'm with you


I don't know what it is but I got that feeling

Waking up in this bed next to you swear the room

Yeah it got no ceiling

If we lay, let the day just pass us by

I might get to too much talking

I might have to tell you something...",
