song_id,artist,title,lyrics,emotion
481,Pop Smoke,Dior,"
She  like the way that I dance

She like the way that I move

She like the way that I rock

She like the way that I woo

And  she let it clap for a nigga

(She let it clap for a nigga)

And she throw it back for a nigga

(Yeah, she throw it back for a nigga)

Mike Amiri, Mike Amiri

Billie Jean, Billie Jean (Uh)

Christian Dior, Dior

I'm up in all the stores

When it rains, it pours

She like the way I rrr

Mike Amiri, Mike Amiri

Billie Jean, Billie Jean (Uh)

Christian Dior, Dior

I'm up in all the stores

When it rains, it pours

She like the way I rrr


When I walk in the spot, thirty on me

Buy out the club, niggas know that I'm paid

Bitch, I'm a thot, get me lit

I can't fuck with these niggas 'cause niggas is gay

All on my page suckin' dick

All in my comments and screamin' my name

While I'm in the club, throwin' them hundreds and fifties and ones and ones

Pop Smoke, they know I'm wildin'

If I'm on the island, I'm snatchin' the cell

Brody got locked, denied his bail

Until he free, I'm raisin' hell

Tell my shooters call me FaceTime

For all the times we had to face time

Free D-Nice, he doin' state time

If you need the glizzy, you could take mine

Please don't come out your mouth, you know I'm like that

I'll make a movie like TNT

Glock-30 on me, ask who really want it

I bet I air it like BNB

Nappy Blue wildin' in my section

And I keep that .38 for the weapon

Remember when I came home from corrections

All the bad bitches in my direction",Happiness
398,Juice Wrld,Robbery,"
I can't reverse it

It was a gift and a curse

And now I'm drinking too much, so I'ma talk with a slur

Last time I saw you it ended in a blur

I woke up in a hearse

She said, ""You loved me first"" (First)

One thing my dad told me was, ""Never let your woman know when you're insecure""

So I put Gucci on the fur

And I put my wrist on iceberg

One thing my heart tells me is, ""Flex on a ho every time they're insecure""

Ou-ou-ouh

I'm running from you-ou-ou

Is your love for real? (For real? For real?)

Is your love really true?


She told me put my heart in the bag (In the bag)

And nobody gets hurt (Nobody)

Now I'm running from her love, I'm not fast (Fast)

So I'm making it worse (Making it worse)

Now I'm digging up a grave, from my past

I'm a whole different person (A whole different person)

It's a gift and a curse (A gift and a curse)

But I cannot reverse it",Sadness
117,Rae Sremmurd,Black Beatles,"
Getting so gone I'm not blinkin'

What in the world was I thinkin'?

New day, new money to be made

There is nothin' to explain

I'm a fuckin' black Beatle, cream seats in the Regal

Rockin' John Lennon lenses, like to see em spread eagle

Took a bitch to the club and let her party on the table

Screamin', ""Everybody's famous!""

Like clockwork, I blow it all

And get some more

Get you somebody that can do both

Black Beatles got the babes belly rollin'

She think she love me, I think she trollin'


That girl is a real crowd pleaser

Small world, all her friends know of me

Young bull livin' like an old geezer

Quick release the cash, watch it fall slowly

Frat girls still tryna get even

Haters mad for whatever reason

Smoke in the air, binge drinkin'

They lose it when the DJ drops the needle",Happiness
603,Ed Sheeran,Shivers,"
I wanna be that guy

I wanna kiss your eyes

I wanna drink that smile

I wanna feel like I'm

Like my soul's on fire

I wanna stay up all day and all night, mm

Yeah, you got me singing like


Ooh, I love it when you do it like that

And when you're close up, give me thе shivers

Oh, baby, you wanna dance 'til the sunlight cracks

And whеn they say the party's over then we bring it right back

And we say, ooh, I love it when you do it like that

And when you're close up, give me the shivers

Oh, baby you wanna dance 'til the sunlight cracks

And when they say the party's over then we bring it right back",Happiness
135,Drake,Fake Love,"
Somethin' ain't right when we talkin'

Somethin' ain't right when we talkin'

Look like you hidin' your problems

Really you never was all in

No you can't son me, you won't never get to run me

Just when shit look, outta reach, I reach back like one, three

Like one, three, yeah


That's when they smile in my face

Whole time they wanna take my place

Whole time they wanna take my place

Whole time they wanna take my place

Yeah, I know they wanna take my place

I can tell that love is fake

I don't trust a word you say

How you wanna click up after your mistakes?

Look you in the face and it's just not the same",Disgust
605,Latto,Big Energy,"
Tell me how you want it (Huh?)

Three, two, one and I'm on it (On it)

Feel good, don't it? (Don't it?)

Hood bitch, fuck you bonnet (Yeah)

I'ma bust it down the pole like onyx (Ooh)

Want you bein' honest (Uh-huh)

Pussy juicy, Minute Maid (Oh)

But can't do it onе minute, man (Hell no)

Not a side hoе, a main

I'm the only bitch he entertain (Yeah)

Spendin' his mind in the bank (In the bank)

I like what I see (Yeah)

A boss like you need a boss like me (Uh-huh)

Daddy from the street, so he move lowkey

Tryna ride that mic' like karaoke (Oh)


On the count of three, bad bitches, get money (Money)

Broke niggas to the left, we don't want it (We don't want)

I'm the one these bitches hate but they can't get past (Uh-huh)

Pretty face, no waist and a big ol' ass, ha",Happiness
346,Juice Wrld,Lucid Dreams,"
You left me falling and landing inside my grave

I know that you want me dead (cough)

I take prescriptions to make me feel a-okay

I know it's all in my head


I have these lucid dreams where I can't move a thing

Thinking of you in my bed

You were my everything

Thoughts of a wedding ring

Now I'm just better off dead (coughs)

I'll do it over again

I didn't want it to end

I watch it blow in the wind

I should've listened to my friends

Did this shit in the past

But I want it to last

You were made outta plastic (fake)

I was tangled up in your drastic ways

Who knew evil girls have the prettiest face

You gave me a heart that was full of mistakes

I gave you my heart and you made heart break",Sadness
729,Gunna,FukUMean,"
Ha, ha, ha, ha

Ha, ha, ha, ha


Fuck you mean?

Young Gunna Wunna, they workin' my nerves

I'm about to pour up some syrup

Fucking this bitch like a perv'

Smack from the back, grab her perm

Ice, the burr, uh, shittin' on all you lil' turds

Can't take that dick, wait your turn

In my own lane, we can't merge

Suck with no hands, you can learn

Let's see how much you can earn

Watch me go big like thе Worm

And I ain't smokin' no sherm

I'm in this bitch with P Litty

QP, QP-ski

All of my bitches is pretty, thеy showin' they titties, it's up to the ceilin'

I let her run through a million, I rock with her really, let's fuck on a billion

I'ma get down to the gritty, then fuck up the city, the home of the villains

Ecstasy, wonderful feelin'

Smoke out the pound when I'm chillin'

Trappin', I made me a killin'

Look, I got everybody wishin'

I hope you play your position

I don't want nobody listenin'

I see the ho with precision

Get rich my only decision",Happiness
822,Sabrina Carpenter,Feather,"
I slam the door

I hit ""Ignore""

I say, ""No, no, no, no more.""

I got you blocked after this an after thought

I finally cut you off


I feel so much lighter, like a feather with you off my mind

Floating through the memories, like whatever, you're a waste of time

Your signals are mixed

You act like a bitch

You fit every stereotype, send the pic

I feel so much lighter, like a feather with you out my life

With you off my mind",Anger
696,Sam Smith,Unholy,"
Lucky, lucky girl, she got married to a boy like you

She'd kick you out if she ever, ever knew

'Bout all the **** you tell me that you do

Dirty, dirty boy, you know everyone is talking on the scene

I hear them whisperin' 'bout the places that you been

And how you don't know how to keep your business clean


Mummy don't know daddy's getting hot

At the body shop

Doing somethin' unholy

He's sat back while she's droppin' it

She'd be poppin' it

Yeah, she put it down slowly

Oh, eh, oh, eh, oh, he left his kids at home

Eh, oh, eh, oh, so he can get that-

Mummy don't know daddy's getting hot

At the body shop (Hehe)

Doing somethin' unholy (Woo)",Fear
